file,kind,text,proposed_key,status
src/dashboard/templates/auth.html,text,API Connection Status,auth.ui.api_connection_status,todo
src/dashboard/templates/auth.html,text,Checking API connection...,auth.ui.checking_api_connection,todo
src/dashboard/templates/auth.html,text,Connected to PropertyFinder Enterprise API,auth.ui.connected_to_propertyfinder_enterprise_api,todo
src/dashboard/templates/auth.html,text,Test Again,auth.ui.test_again,todo
src/dashboard/templates/auth.html,text,Connection Failed,auth.ui.connection_failed,todo
src/dashboard/templates/auth.html,text,Enterprise API Configuration,auth.ui.enterprise_api_configuration,todo
src/dashboard/templates/auth.html,text,API Endpoint,auth.ui.api_endpoint,todo
src/dashboard/templates/auth.html,text,Enterprise API,auth.ui.enterprise_api,todo
src/dashboard/templates/auth.html,text,API Key,auth.ui.api_key,todo
src/dashboard/templates/auth.html,text,Configured,auth.ui.configured,todo
src/dashboard/templates/auth.html,text,Not Set,auth.ui.not_set,todo
src/dashboard/templates/auth.html,text,API Secret,auth.ui.api_secret,todo
src/dashboard/templates/auth.html,text,How to Get API Credentials,auth.ui.how_to_get_api_credentials,todo
src/dashboard/templates/auth.html,text,Contact PropertyFinder Support,auth.ui.contact_propertyfinder_support,todo
src/dashboard/templates/auth.html,text,Request Enterprise API access from your PropertyFinder account manager.,auth.ui.request_enterprise_api_access_from_your_property,todo
src/dashboard/templates/auth.html,text,Receive API Key and Secret,auth.ui.receive_api_key_and_secret,todo
src/dashboard/templates/auth.html,text,PropertyFinder will provide your unique API Key (Client ID) and API Secret (Client Secret).,auth.ui.propertyfinder_will_provide_your_unique_api_key_,todo
src/dashboard/templates/auth.html,text,Configure in .env file,auth.ui.configure_in_env_file,todo
src/dashboard/templates/auth.html,text,Add your credentials to the,auth.ui.add_your_credentials_to_the,todo
src/dashboard/templates/auth.html,text,.env,auth.ui.env,todo
src/dashboard/templates/auth.html,text,file in the project root:,auth.ui.file_in_the_project_root,todo
src/dashboard/templates/auth.html,text,# PropertyFinder Enterprise API,auth.ui.propertyfinder_enterprise_api,todo
src/dashboard/templates/auth.html,text,PF_API_KEY=,auth.ui.pf_api_key,todo
src/dashboard/templates/auth.html,text,your_api_key_here,auth.ui.your_api_key_here,todo
src/dashboard/templates/auth.html,text,PF_API_SECRET=,auth.ui.pf_api_secret,todo
src/dashboard/templates/auth.html,text,your_api_secret_here,auth.ui.your_api_secret_here,todo
src/dashboard/templates/auth.html,text,Restart the application,auth.ui.restart_the_application,todo
src/dashboard/templates/auth.html,text,"After updating the .env file, restart the Flask server to load the new credentials.",auth.ui.after_updating_the_env_file_restart_the_flask_se,todo
src/dashboard/templates/auth.html,text,About OAuth 2.0 Authentication,auth.ui.about_oauth_2_0_authentication,todo
src/dashboard/templates/auth.html,text,The PropertyFinder Enterprise API uses OAuth 2.0 Client Credentials flow. Your API Key and Secret are used to obtain a short-lived JWT access token (valid for 30 minutes). The application automatically refreshes the token when needed.,auth.ui.the_propertyfinder_enterprise_api_uses_oauth_2_0,todo
src/dashboard/templates/auth.html,text,Your credentials are stored locally in the .env file,auth.ui.your_credentials_are_stored_locally_in_the_env_f,todo
src/dashboard/templates/auth.html,text,Tokens are automatically refreshed when expired,auth.ui.tokens_are_automatically_refreshed_when_expired,todo
src/dashboard/templates/auth.html,text,API endpoint: atlas.propertyfinder.com/v1,auth.ui.api_endpoint_atlas_propertyfinder_com_v1,todo
src/dashboard/templates/auth.html,text,"function authPage() { return { checking: true, connected: false, error: '', userCount: 0, lastChecked: '', hasApiKey: false, hasApiSecret: false, apiKeyPreview: '••••••••', apiSecretPreview: '••••••••', async init() { await this.loadConfig(); await this.testConnection(); }, async loadConfig() { try { const resp = await fetch('/api/config'); const data = await resp.json(); this.hasApiKey = data.has_api_key; this.hasApiSecret = data.has_api_secret; this.apiKeyPreview = data.api_key_preview || '••••••••'; this.apiSecretPreview = data.api_secret_preview || '••••••••'; } catch (e) { console.error('Error loading config:', e); } }, async testConnection() { this.checking = true; this.error = ''; try { const resp = await fetch('/api/test-connection'); const data = await resp.json(); this.connected = data.success; this.userCount = data.users_count || 0; const locale = (window.I18N && window.I18N.lang === 'ar') ? 'ar-AE-u-nu-latn' : 'en-AE'; this.lastChecked = new Date().toLocaleString(locale); if (!data.success) { this.error = data.error || 'Connection failed'; } } catch (e) { this.connected = false; this.error = e.message; } this.checking = false; } }; }",auth.ui.function_authpage_return_checking_true_connected,todo
src/dashboard/templates/base.html,text,[x-cloak] { display: none !important; },base.ui.x_cloak_display_none_important,todo
src/dashboard/templates/base.html,text,L-Manager,base.ui.l_manager,todo
src/dashboard/templates/base.html,text,{# Use workspace-scoped URLs when in workspace context #},base.ui.use_workspace_scoped_urls_when_in_workspace_cont,todo
src/dashboard/templates/base.html,text,{# System admin portal (no workspace context) #},base.ui.system_admin_portal_no_workspace_context,todo
src/dashboard/templates/base.html,text,{# Users link - workspace-scoped or regular #},base.ui.users_link_workspace_scoped_or_regular,todo
src/dashboard/templates/base.html,text,{# No additional links here for system admin; main system nav already rendered above #},base.ui.no_additional_links_here_for_system_admin_main_s,todo
src/dashboard/templates/base.html,text,"show = false, 5000)"">",base.ui.show_false_5000,todo
src/dashboard/templates/bulk_upload.html,alert,Invalid file type. Please upload a JSON or CSV file.,bulk_upload.alerts.invalid_file_type_please_upload_a_json_or_csv_fi,todo
src/dashboard/templates/bulk_upload.html,alert,File too large. Maximum size is 16MB.,bulk_upload.alerts.file_too_large_maximum_size_is_16mb,todo
src/dashboard/templates/bulk_upload.html,alert,Error parsing file:,bulk_upload.alerts.error_parsing_file,todo
src/dashboard/templates/bulk_upload.html,alert,Please map all required fields before uploading.,bulk_upload.alerts.please_map_all_required_fields_before_uploading,todo
src/dashboard/templates/bulk_upload.html,placeholder,Enter custom value,bulk_upload.placeholders.enter_custom_value,todo
src/dashboard/templates/bulk_upload.html,placeholder,"e.g., balcony, central-ac, security",bulk_upload.placeholders.e_g_balcony_central_ac_security,todo
src/dashboard/templates/bulk_upload.html,placeholder,"field.key === 'compliance_type' ? 'rera, dtcm, or adrec' : 'Permit number'",bulk_upload.placeholders.field_key_compliance_type_rera_dtcm_or_adrec_per,todo
src/dashboard/templates/bulk_upload.html,placeholder,"getMappedValue(row, 'amenities')",bulk_upload.placeholders.getmappedvalue_row_amenities,todo
src/dashboard/templates/bulk_upload.html,text,"= 1 ? 'bg-indigo-600 text-white' : 'bg-gray-200 text-gray-600'"" class=""w-10 h-10 rounded-full flex items-center justify-center font-semibold"">1",bulk_upload.ui.1_bg_indigo_600_text_white_bg_gray_200_text_gray,todo
src/dashboard/templates/bulk_upload.html,text,"= 1 ? 'text-indigo-600' : 'text-gray-400'"">Upload File",bulk_upload.ui.1_text_indigo_600_text_gray_400_upload_file,todo
src/dashboard/templates/bulk_upload.html,text,"= 2 ? 'bg-indigo-600' : 'bg-gray-200'"">",bulk_upload.ui.2_bg_indigo_600_bg_gray_200,todo
src/dashboard/templates/bulk_upload.html,text,"= 2 ? 'bg-indigo-600 text-white' : 'bg-gray-200 text-gray-600'"" class=""w-10 h-10 rounded-full flex items-center justify-center font-semibold"">2",bulk_upload.ui.2_bg_indigo_600_text_white_bg_gray_200_text_gray,todo
src/dashboard/templates/bulk_upload.html,text,"= 2 ? 'text-indigo-600' : 'text-gray-400'"">Map Columns",bulk_upload.ui.2_text_indigo_600_text_gray_400_map_columns,todo
src/dashboard/templates/bulk_upload.html,text,"= 3 ? 'bg-indigo-600' : 'bg-gray-200'"">",bulk_upload.ui.3_bg_indigo_600_bg_gray_200,todo
src/dashboard/templates/bulk_upload.html,text,"= 3 ? 'bg-indigo-600 text-white' : 'bg-gray-200 text-gray-600'"" class=""w-10 h-10 rounded-full flex items-center justify-center font-semibold"">3",bulk_upload.ui.3_bg_indigo_600_text_white_bg_gray_200_text_gray,todo
src/dashboard/templates/bulk_upload.html,text,"= 3 ? 'text-indigo-600' : 'text-gray-400'"">Results",bulk_upload.ui.3_text_indigo_600_text_gray_400_results,todo
src/dashboard/templates/bulk_upload.html,text,Step 1: Upload Listings File,bulk_upload.ui.step_1_upload_listings_file,todo
src/dashboard/templates/bulk_upload.html,text,Upload a JSON or CSV file containing your property listings.,bulk_upload.ui.upload_a_json_or_csv_file_containing_your_proper,todo
src/dashboard/templates/bulk_upload.html,text,"Drag and drop your file here, or",bulk_upload.ui.drag_and_drop_your_file_here_or,todo
src/dashboard/templates/bulk_upload.html,text,Browse Files,bulk_upload.ui.browse_files,todo
src/dashboard/templates/bulk_upload.html,text,"Supported formats: JSON, CSV (max 16MB)",bulk_upload.ui.supported_formats_json_csv_max_16mb,todo
src/dashboard/templates/bulk_upload.html,text,Next: Map Columns,bulk_upload.ui.next_map_columns,todo
src/dashboard/templates/bulk_upload.html,text,Parsing file...,bulk_upload.ui.parsing_file,todo
src/dashboard/templates/bulk_upload.html,text,Step 2: Map Your Columns,bulk_upload.ui.step_2_map_your_columns,todo
src/dashboard/templates/bulk_upload.html,text,Match your CSV columns to PropertyFinder listing fields. Fields marked with * are required.,bulk_upload.ui.match_your_csv_columns_to_propertyfinder_listing,todo
src/dashboard/templates/bulk_upload.html,text,File:,bulk_upload.ui.file,todo
src/dashboard/templates/bulk_upload.html,text,Rows found:,bulk_upload.ui.rows_found,todo
src/dashboard/templates/bulk_upload.html,text,Columns:,bulk_upload.ui.columns,todo
src/dashboard/templates/bulk_upload.html,text,PropertyFinder Field,bulk_upload.ui.propertyfinder_field,todo
src/dashboard/templates/bulk_upload.html,text,Your CSV Column,bulk_upload.ui.your_csv_column,todo
src/dashboard/templates/bulk_upload.html,text,Sample Data,bulk_upload.ui.sample_data,todo
src/dashboard/templates/bulk_upload.html,text,Core Details (Required),bulk_upload.ui.core_details_required,todo
src/dashboard/templates/bulk_upload.html,text,✏️ Custom Value...,bulk_upload.ui.custom_value,todo
src/dashboard/templates/bulk_upload.html,text,Specifications,bulk_upload.ui.specifications,todo
src/dashboard/templates/bulk_upload.html,text,Price,bulk_upload.ui.price,todo
src/dashboard/templates/bulk_upload.html,text,Title & Description,bulk_upload.ui.title_description,todo
src/dashboard/templates/bulk_upload.html,text,Media,bulk_upload.ui.media,todo
src/dashboard/templates/bulk_upload.html,text,-- Skip --,bulk_upload.ui.skip,todo
src/dashboard/templates/bulk_upload.html,text,Amenities,bulk_upload.ui.amenities,todo
src/dashboard/templates/bulk_upload.html,text,Compliance (Dubai/Abu Dhabi),bulk_upload.ui.compliance_dubai_abu_dhabi,todo
src/dashboard/templates/bulk_upload.html,text,Options,bulk_upload.ui.options,todo
src/dashboard/templates/bulk_upload.html,text,Publish listings after creation,bulk_upload.ui.publish_listings_after_creation,todo
src/dashboard/templates/bulk_upload.html,text,Skip rows with missing required fields,bulk_upload.ui.skip_rows_with_missing_required_fields,todo
src/dashboard/templates/bulk_upload.html,text,Preview (First 3 rows),bulk_upload.ui.preview_first_3_rows,todo
src/dashboard/templates/bulk_upload.html,text,Title,bulk_upload.ui.title,todo
src/dashboard/templates/bulk_upload.html,text,Type,bulk_upload.ui.type,todo
src/dashboard/templates/bulk_upload.html,text,Location,bulk_upload.ui.location,todo
src/dashboard/templates/bulk_upload.html,text,Beds,bulk_upload.ui.beds,todo
src/dashboard/templates/bulk_upload.html,text,Agent,bulk_upload.ui.agent,todo
src/dashboard/templates/bulk_upload.html,text,Back,bulk_upload.ui.back,todo
src/dashboard/templates/bulk_upload.html,text,Create,bulk_upload.ui.create,todo
src/dashboard/templates/bulk_upload.html,text,Listings,bulk_upload.ui.listings,todo
src/dashboard/templates/bulk_upload.html,text,Processing...,bulk_upload.ui.processing,todo
src/dashboard/templates/bulk_upload.html,text,Upload Results,bulk_upload.ui.upload_results,todo
src/dashboard/templates/bulk_upload.html,text,Total,bulk_upload.ui.total,todo
src/dashboard/templates/bulk_upload.html,text,Successful,bulk_upload.ui.successful,todo
src/dashboard/templates/bulk_upload.html,text,Failed,bulk_upload.ui.failed,todo
src/dashboard/templates/bulk_upload.html,text,Errors (,bulk_upload.ui.errors,todo
src/dashboard/templates/bulk_upload.html,text,Download Error Report,bulk_upload.ui.download_error_report,todo
src/dashboard/templates/bulk_upload.html,text,Row,bulk_upload.ui.row,todo
src/dashboard/templates/bulk_upload.html,text,Upload More,bulk_upload.ui.upload_more,todo
src/dashboard/templates/bulk_upload.html,text,View Listings,bulk_upload.ui.view_listings,todo
src/dashboard/templates/bulk_upload.html,text,Complete Bulk Upload Guide,bulk_upload.ui.complete_bulk_upload_guide,todo
src/dashboard/templates/bulk_upload.html,text,Overview,bulk_upload.ui.overview,todo
src/dashboard/templates/bulk_upload.html,text,All Fields,bulk_upload.ui.all_fields,todo
src/dashboard/templates/bulk_upload.html,text,Valid Values,bulk_upload.ui.valid_values,todo
src/dashboard/templates/bulk_upload.html,text,Sample CSV,bulk_upload.ui.sample_csv,todo
